from_user,user_followers_count,user_friends_count
Anjahida,217,492
anjaliiiiii_,,
anjalirajadurai,16,127
anjamalkreativ,3758,3655
anke_laufer,549,939
AnkerSchiff,420,1374
ankiisme,1450,1589
Ann_O122,,
Ann_Palmer20,1053,2465
anna_carlile,,
Anna_Chick,2545,486
anna_cridland,15,18
anna_hazeldine,303,451
Anna_Kate2020,81,749
Anna_Soubry,,
annaamatorights,3666,3160
AnnaAnnaou,1852,562
annabellamw,341,854
annabelledyerx,105,502
annaburrows_,53,450
AnnaChaussee,539,855
annadevine66,734,711
AnnaEdmundson,1363,3825
annaemilyh,190,203
annaesme,116,259
AnnaFCSmith,1548,2424
AnnAgallacher84,10,85
annageorgexx,7,35
annahealy19,274,442
annaihrlrahc,362,299
AnnaKRog,137,416
AnnaPaulucci,690,1586
annapyatt,36,128
annaruthtweets,140,385
annasiancole,578,713
annasilvani,1978,3536
annaspencer1974,,
annaspencer1975,51,356
annasunshivam,75,332
Annawatton,3196,5004
AnnaWil72311664,20,154
annbish1959_ann,192,252
annbrook17,387,1199
Anne_Cunningham,673,1277
anne_imp,295,142
Anne_J101,585,763
anne_joseypye,202,944
anne_sones,889,1530
Anne99014818,28,348
anneardunes,263,1922
AnneBoden,,
annedavies127,35,70
annegladstone,1724,2187
anneIisters,628,496
AnneKni38953689,1917,2530
AnneLai31821380,1740,1911
AnnemarieBala,765,1172
AnneMcGarryMars,1947,3890
annenelson1964,95,384
AnnePas00,224,3376
annepetrie6,12736,2346
anneskrynka,24,326
AnneSuslakNews,528,338
annetstirling,666,661
annette_preest,588,1810
annetteashley61,6018,6314
AnnetteRAVENEAU,2961,5002
annettesjl,2047,3915
AnnFarr46,288,235
annicarole1,436,529
annie_cjohnson,341,1349
annie_lane01,450,512
Annie08240821,,
Annie08240822,16,14
AnnieActrice,3336,3861
anniealright43,267,119
anniearif4,10,23
AnnieBannister,1786,1500
anniebarden1,156,151
Anniebelle_g,,
AnnieConboy,427,552
AnnieFoley17,905,1301
AnnieGhostt,501,284
anniegirl1138,6390,2204
Anniehesketh,779,718
Anniehowd,94,632
AnnieM333,66,451
AnnieMaggieMart,705,681
anniemagu,25,869
Anniemdg,244,1120
Anniescot115,372,527
AnnieT23522018,1,8
AnnieTheJ,1,94
anniexsanghar,744,458
annmarie_hc,106,440
AnnMolloy12,94,205
AnnMroz,14809,1076
AnnoyedStudent1,,
AnnoyedStudent2,4,3
AnnPierceJones,473,711
AnnSkelly3,309,348
AnnukkaPia,11,65
AnnVeronicaWood,122,296
anoara_a,6472,5386
anomelisa,538,373
Anonymous70_64,212,348
anonymous8362,,
Anory12Jack,163,386
anouskakjones,269,160
Ant1988,3773,4467
AntacsB,4594,4985
AntCrossfield,765,2357
Anthony77630954,217,389
AnthonyConder,378,1527
anthonyg86,50,259
AnthonyLatini1,3,3
AnthonyLehal,1924,2000
Anthonymacson,203,719
AnthonyRayworth,,
AnthonyRickman,213,132
AnthonySmithVP,,
AnthonyTitmus,221,806
Anthzz_DK,588,522
AntiGobshite,9,12
antmaiu,18,44
AntNelson63,236,341
antnry,265,704
antoinettevamp,242,404
antoniabeamish,348,514
Antonineone1,10685,4522
AntonioTantalo,448,530
